18:41:37: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 52] Logger initialized
18:41:42: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run_generate_command | 93] Average velocity: (1.82, 5.45, 0.18)  m/s
18:41:43: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run_generate_command | 93] Average velocity: (3.33, 5.00, 0.17)  m/s
18:41:43: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run_generate_command | 93] Average velocity: (4.62, 4.62, 0.15)  m/s
18:41:44: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run_generate_command | 93] Average velocity: (4.29, 2.86, 0.14)  m/s
18:41:44: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run_generate_command | 93] Average velocity: (4.00, 1.33, 0.13)  m/s
18:41:45: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run_generate_command | 93] Average velocity: (3.75, 0.00, 0.12)  m/s
18:41:45: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run_generate_command | 93] Average velocity: (2.35, 0.00, 0.12)  m/s
18:41:46: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run_generate_command | 93] Average velocity: (1.11, 0.00, 0.11)  m/s
18:41:46: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run_generate_command | 93] Average velocity: (0.00, 0.00, 0.11)  m/s
18:41:47: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run_generate_command | 93] Average velocity: (0.00, 1.00, 0.10)  m/s
18:41:47: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run_generate_command | 93] Average velocity: (0.00, 1.90, 0.10)  m/s
18:41:48: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run_generate_command | 93] Average velocity: (0.00, 2.73, 0.09)  m/s
18:41:48: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run_generate_command | 93] Average velocity: (0.87, 2.61, 0.09)  m/s
18:41:49: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run_generate_command | 93] Average velocity: (1.67, 2.50, 0.08)  m/s
18:41:49: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run_generate_command | 93] Average velocity: (2.40, 2.40, 0.08)  m/s
18:41:50: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run_generate_command | 93] Average velocity: (2.31, 1.54, 0.08)  m/s
18:41:50: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run_generate_command | 93] Average velocity: (2.22, 0.74, 0.07)  m/s
18:41:51: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run_generate_command | 93] Average velocity: (2.14, 0.00, 0.07)  m/s
18:41:51: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run_generate_command | 93] Average velocity: (1.38, 0.00, 0.07)  m/s
18:41:52: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run_generate_command | 93] Average velocity: (0.67, 0.00, 0.07)  m/s
18:41:52: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run_generate_command | 93] Average velocity: (0.00, 0.00, 0.06)  m/s
